Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
28.01.2022;RIH2022;шорт;141840,00;1;140390,00; Закрыл вручную;10;15,3;2218,5;106584,12
28.01.2022;RIH2022;шорт;140770,00;1;139500,00;take;10;15,3;1943,1;108527,22
28.01.2022;RIH2022;шорт;140770,00;1;139500,00;take;10;15,3;1943,1;110470,32
28.01.2022;RIH2022;шорт;140770,00;1;139500,00;take;10;15,3;1943,1;112413,42
28.01.2022;RIH2022;шорт;140000,00;1;146800,00;Выбило по стопу;10;15,3;-10404;102009,42
28.01.2022;RIH2022;шорт;140000,00;1;146800,00;Выбило по стопу;10;15,3;-10404;91605,42
28.01.2022;RIH2022;шорт;140000,00;1;146800,00;Выбило по стопу;10;15,3;-10404;81201,42
28.01.2022;RIH2022;шорт;141100,00;1;140390,00; Закрыл вручную;10;15,3;1086,3;82287,72
28.01.2022;RIH2022;шорт;141600,00;1;146800,00;Выбило по стопу;10;15,3;-7956;74331,72
28.01.2022;RIH2022;шорт;142120,00;1;141060,00;Выбило по стопу;10;15,3;1621,8;75953,52
28.01.2022;BRH2022;лонг;89,47;2;89,32; Закрыл вручную;0,01;7,61;-228,29;75725,23
28.01.2022;BRH2022;лонг;89,60;2;89,32; Закрыл вручную;0,01;7,61;-426,13;75299,1
28.01.2022;BRH2022;лонг;89,77;2;89,32; Закрыл вручную;0,01;7,61;-684,86;74614,24
28.01.2022;SFH2022;шорт;427,42;5;428,01; Закрыл вручную;0,01;0,8;-235,4;74378,84
28.01.2022;SFH2022;шорт;430,26;5;428,01; Закрыл вручную;0,01;0,8;897,69;75276,53
31.01.2022;BRH2022;шорт;89,40;2;89,30; Закрыл вручную;0,01;7,61;152,19;75428,72
31.01.2022;BRH2022;шорт;88,79;2;89,30; Закрыл вручную;0,01;7,61;-776,17;74652,55
31.01.2022;BRH2022;шорт;89,02;2;88,52; Закрыл вручную;0,01;7,61;760,95;75413,5
31.01.2022;RIH2022;шорт;143750,00;1;146800,00;Выбило по стопу;10;15,3;-4666,5;70747
31.01.2022;LKH2022;шорт;69080,00;2;69950,00;Выбило по стопу;1;1;-1740;69007
31.01.2022;LKH2022;шорт;69400,00;2;69950,00;Выбило по стопу;1;1;-1100;67907
31.01.2022;SFH2022;шорт;439,44;5;444,59; Закрыл вручную;0,01;0,8;-2054,72;65852,28
31.01.2022;GDH2022;лонг;1790,00;1;1794,50;закрыл вруную;1;76,21;342,95;66195,23
31.01.2022;GDH2022;лонг;1797,30;1;1795,70;stop;1;76,21;-121,94;66073,29
31.01.2022;GDH2022;лонг;1797,30;2;1805,00;take;1;76,21;1173,63;67246,92
01.02.2022;BRH2022;лонг;88,29;10;89,64;закрыл вруную;0,01;7,61;10272,85;77519,77
01.02.2022;BRH2022;лонг;88,29;10;89,30;закрыл вруную;0,01;7,61;7685,62;85205,39
01.02.2022;BRH2022;лонг;88,29;10;89,80;take;0,01;7,61;11490,38;96695,77
01.02.2022;BRH2022;лонг;88,29;10;89,80;take;0,01;7,61;11490,38;108186,15
01.02.2022;BRH2022;лонг;88,29;10;89,80;take;0,01;7,61;11490,38;119676,53
01.02.2022;BRH2022;лонг;88,29;10;89,51;stop;0,01;7,61;9283,61;128960,14
01.02.2022;BRH2022;лонг;88,90;10;89,21;закрыл вруную;0,01;7,61;2358,95;131319,09
02.02.2022;BRH2022;лонг;89,30;10;89,80;take;0,01;7,61;3804,76;135123,85
02.02.2022;BRH2022;лонг;89,30;10;90,25;take;0,01;7,61;7229,04;142352,89
02.02.2022;BRH2022;лонг;88,80;10;89,00;закрыл вруную;0,01;7,61;1521,9;143874,79
02.02.2022;BRH2022;лонг;88,80;10;89,00;закрыл вруную;0,01;7,61;1521,9;145396,69
02.02.2022;BRH2022;лонг;88,80;10;89,06;закрыл вруную;0,01;7,61;1978,48;147375,17
02.02.2022;LKH2022;лонг;70860,00;3;69900,00;stop;1;1;-2880;144495,17
02.02.2022;BRH2022;лонг;88,30;10;89,30;закрыл вруную;0,01;7,61;7609,52;152104,69
03.02.2022;RIH2022;шорт;146780,00;1;145780,00;Просто повезло;10;15,3;1530;153634,69
03.02.2022;RIH2022;шорт;143220,00;1;142900,00;закрыл вруную;10;15,3;489,6;154124,29
03.02.2022;RIH2022;шорт;143770,00;1;143220,00;тейк;10;15,3;841,5;154965,79
03.02.2022;RIH2022;шорт;142900,00;1;143220,00;стоп;10;15,3;-489,6;154476,19
03.02.2022;RIH2022;шорт;143000,00;1;143220,00;стоп;10;15,3;-336,6;154139,59
03.02.2022;RIH2022;шорт;142900,00;1;143100,00;стоп;10;15,3;-306;153833,59
03.02.2022;LKH2022;лонг;69289,00;1;71150,00;закрыл вруную;1;1;1861;155694,59
04.02.2022;LKH2022;шорт;70326,00;1;69642,00;закрыл вруную;1;1;684;156378,59
04.02.2022;RIH2022;лонг;143690,00;1;144310,00;закрыл вруную;10;15,3;948,6;157327,19
04.02.2022;RIH2022;лонг;144590,00;1;145300,00;тейк;10;15,3;1086,3;158413,49
04.02.2022;RIH2022;лонг;144590,00;1;145950,00;тейк;10;15,3;2080,8;160494,29
04.02.2022;RIH2022;лонг;144590,00;1;143800,00;закрыл вруную;10;15,3;-1208,7;159285,59
04.02.2022;SIH2022;шорт;77076,00;5;76550,00;закрыл вруную;1;1;2630;161915,59
04.02.2022;SIH2022;шорт;77076,00;5;76550,00;закрыл вруную;1;1;2630;164545,59
04.02.2022;SIH2022;шорт;77076,00;5;76725,00;закрыл вруную;1;1;1755;166300,59
04.02.2022;SIH2022;шорт;77076,00;5;76725,00;закрыл вруную;1;1;1755;168055,59
04.02.2022;SIH2022;шорт;76926,00;5;76400,00;закрыл вруную;1;1;2630;170685,59
04.02.2022;SIH2022;шорт;76926,00;5;76150,00;тейк;1;1;3880;174565,59
04.02.2022;SIH2022;шорт;76926,00;5;76150,00;тейк;1;1;3880;178445,59
04.02.2022;SIH2022;шорт;76926,00;5;76150,00;тейк;1;1;3880;182325,59
04.02.2022;GDH2022;лонг;1811,00;1;1817,00;тейк;1;76,21;457,26;182782,85
04.02.2022;GDH2022;лонг;1811,00;1;1817,00;тейк;1;76,21;457,26;183240,11
04.02.2022;GDH2022;лонг;1811,00;1;1817,00;тейк;1;76,21;457,26;183697,37
